df_name,Age,Gender,What ethnicity/race do you identify with? (select all that apply) - Selected Choice,What ethnicity/race do you identify with? (select all that apply) - Other - Text,"What is your level of experience playing video games (any type: computer or console-based, e.g. playstation) ?",Do you play first or third-person games?,"If you game currently, how many hours per day on average? - Hours",What would you consider your current Minecraft skill level?,curve_count,avg_original_length_x,avg_last_value,Env,Removed_curves,Cluster0,Cluster1,Cluster2,Cluster3,time
2004,20,Male,Asian,,Novice,First-person,1,Novice,5,102.6,1.564,3E,0,0.428571429,0,0.142857143,0.428571429,84
2006,19,Female,Asian,,Novice,Third-person,1,Novice,4,78.5,9.2075,1E,0,0.75,0,0,0.25,27.875
2014,20,Female,Latino/Latina/Latinx,,Intermediate,Both,2,Novice,9,68.66666667,5.931111111,2E,2,0.695652174,0,0,0.304347826,29.375
2017,18,Female,Black or African American,,Novice,Both,1,Novice,4,77.75,10.4225,4E,2,0.923076923,0,0,0.076923077,22.346153846153847
2019,21,Male,Middle Eastern,,Expert,Both,3,Intermediate,10,47.7,2.223,2E,2,0.769230769,0.076923077,0,0.153846154,26.166666666666668
2020,21,Male,Asian,,Intermediate,Both,3,Novice,2,25.5,4.07,4E,1,0.666666667,0.033333333,0,0.3,21.6
2021,19,Female,Other,Egyptian and Pakistani,Novice,First-person,,Novice,3,59,3.273333333,1E,0,0.782608696,0.043478261,0,0.173913043,41
2022,22,Female,Asian,,Intermediate,Third-person,1,Novice,2,118,7.435,4E,0,0.75,0.035714286,0.035714286,0.178571429,26.517241379310345
2024,22,Female,Other,,Novice,Third-person,0,Novice,8,44.875,3.3475,1E,2,0.92,0,0.04,0.04,16.653846153846153
2025,23,Female,"Asian,White",,Novice,First-person,0,Novice,7,74,6.585714286,3E,0,0.875,0,0,0.125,21
2027,20,Female,Asian,,Novice,First-person,0,Novice,5,69,8.884,4E,1,0.888888889,0,0.037037037,0.074074074,26.892857142857142
2028,21,Female,Asian,,Novice,First-person,0,Novice,4,19.75,9.4,3E,2,0.666666667,0.074074074,0.037037037,0.222222222,26
2032,22,Female,Asian,,Novice,Third-person,0,Novice,6,57,8.426666667,4E,2,0.807692308,0,0,0.192307692,20.5
2033,22,Female,Native Hawaiian or Other Pacific Islander,,Novice,First-person,0,Novice,5,40,4.392,3E,0,0.862068966,0.034482759,0,0.103448276,27
2035,23,Female,Middle Eastern,,Novice,First-person,0,Novice,4,24,3.535,2E,3,0.689655172,0.068965517,0.034482759,0.206896552,32.3
2037,21,Female,Latino/Latina/Latinx,,Intermediate,Both,0,Expert,6,86.33333333,6.001666667,2E,1,0.857142857,0.035714286,0.035714286,0.071428571,28.344827586206897
2041,17,Male,Asian,,Expert,Both,2,Intermediate,3,102,9.32,4E,1,0.692307692,0.038461538,0.038461538,0.230769231,23.653846153846157
2042,20,Female,Asian,,Novice,Both,1,Novice,6,39.83333333,7.495,3E,1,0.942857143,0,0,0.057142857,21.457142857142856
2043,23,Female,Asian,,Novice,Neither,0,Novice,7,56.85714286,3.955714286,1E,1,0.764705882,0,0.029411765,0.205882353,25.08823529411765
2046,19,Male,Asian,,Expert,Both,4,Intermediate,12,43.25,3.360833333,1E,0,0.833333333,0.041666667,0.041666667,0.083333333,18.541666666666668
2049,18,Male,Asian,,Expert,Both,3,Expert,9,55.66666667,5.112222222,1E,3,0.777777778,0,0.037037037,0.185185185,24.5
2051,27,Female,White,,Novice,Third-person,0,Novice,6,68,2.773333333,2E,0,0.76,0.12,0,0.12,33.68
2052,20,Male,White,,Expert,Both,6,Expert,6,51,3.88,3E,3,0.777777778,0,0.055555556,0.166666667,16.89189189189189
2055,21,Female,"Latino/Latina/Latinx,Native Hawaiian or Other Pacific Islander,White",,Expert,Both,7,Intermediate,4,31.25,3.6375,1E,0,0.916666667,0,0,0.083333333,20.666666666666668
2056,28,Male,White,,Novice,Both,0,Novice,8,55,3.0575,2E,1,0.862068966,0.034482759,0,0.103448276,36.6551724137931
2057,26,Female,Latino/Latina/Latinx,,Novice,First-person,,Novice,2,25,1,2E,0,0.677419355,0.032258065,0,0.290322581,34.74193548387097
2059,22,Male,Asian,,Intermediate,Both,2,Intermediate,5,52.6,6.756,4E,2,0.71875,0,0.0625,0.21875,20.46875
2066,18,Female,Latino/Latina/Latinx,,,,,,2,51,6.935,4E,0,0.814814815,0,0.037037037,0.148148148,24.74074074074074
2067,19,Female,Asian,,Novice,Neither,0,Novice,8,50,3.98375,3E,0,0.916666667,0.083333333,0,0,21.875
2070,20,Female,Asian,,Intermediate,First-person,2,Intermediate,6,31.66666667,8.275,4E,2,0.962962963,0,0,0.037037037,9.535714285714286
2071,21,Female,Asian,,Novice,Neither,0,Novice,4,61.75,3.9325,4E,2,0.675675676,0,0.054054054,0.27027027,26.615384615384617
2073,22,Female,Asian,,Expert,Both,1,Intermediate,4,23,2.615,4E,0,0.555555556,0.037037037,0,0.407407407,27.11111111111111
2074,21,Female,Asian,,Intermediate,Third-person,0,Novice,8,106,4.92125,3E,1,0.76,0.04,0.04,0.16,37.11538461538461
2075,17,Male,Asian,,Novice,First-person,0,Novice,5,61.2,4.392,2E,1,0.787878788,0.03030303,0.03030303,0.151515152,27.352941176470587
2077,19,Female,Asian,,Intermediate,Both,2,Intermediate,12,36.33333333,4.7175,3E,1,0.742857143,0.028571429,0,0.228571429,22.457142857142856
2079,20,Female,Asian,,Intermediate,Both,0,Novice,7,53,5.455714286,3E,1,0.866666667,0,0.033333333,0.1,21.12121212121212
2080,20,Male,White,,Intermediate,Both,0,Intermediate,12,40.5,4.000833333,4E,1,0.739130435,0.043478261,0,0.217391304,23.565217391304348
2081,20,Female,Asian,,Intermediate,Third-person,2,Novice,11,63.18181818,4.087272727,1E,1,0.903225806,0,0,0.096774194,28.64516129032258
2082,20,Female,Asian,,Novice,Neither,0,Novice,1,43,1,4E,2,0.71875,0.03125,0,0.25,31.375
2083,21,Male,White,,Intermediate,Both,3,Novice,10,61.2,4.815,4E,2,0.916666667,0,0.041666667,0.041666667,20.653846153846157
